customer_id,customer_name,industry,segment,arr,contract_start_date,account_owner,lifecycle_stage,risk_profile,known_churn_outcome
CUST-0033,Customer 033,Financial Services,Mid-Market,37347.78,2024-09-20,CSM 01,Mature,usage_decline,True
CUST-0034,Customer 034,Manufacturing,Mid-Market,56725.56,2025-01-08,CSM 12,Mature,commercial_risk,True
CUST-0035,Customer 035,Financial Services,Mid-Market,81098.17,2022-10-19,CSM 01,Adoption,healthy,False
CUST-0036,Customer 036,Retail,Enterprise,114219.89,2025-06-13,CSM 09,Adoption,usage_decline,True
CUST-0037,Customer 037,Technology,Strategic,572076.55,2022-11-08,CSM 10,Growth,healthy,False
CUST-0038,Customer 038,Logistics,Enterprise,264343.29,2022-12-06,CSM 10,Renewal,healthy,False
CUST-0039,Customer 039,Technology,Strategic,496087.98,2024-03-26,CSM 03,Renewal,healthy,False
CUST-0040,Customer 040,Financial Services,Enterprise,214571.38,2022-11-17,CSM 10,Adoption,seasonal_decline,False
CUST-0041,Customer 041,Retail,Mid-Market,94994.45,2023-12-17,CSM 02,Growth,healthy,False
CUST-0042,Customer 042,Manufacturing,Mid-Market,70875.83,2025-07-08,CSM 11,Adoption,healthy,False
CUST-0043,Customer 043,Healthcare,Enterprise,334732.5,2026-03-11,CSM 03,Renewal,support_escalation,True
CUST-0044,Customer 044,Retail,Mid-Market,45426.12,2025-07-29,CSM 10,Growth,healthy,False
CUST-0045,Customer 045,Manufacturing,Enterprise,226352.26,2026-01-10,CSM 05,Adoption,healthy,False
CUST-0046,Customer 046,Financial Services,Mid-Market,25265.93,2024-01-09,CSM 03,Renewal,usage_decline,True
CUST-0047,Customer 047,Financial Services,Mid-Market,33390.54,2024-11-13,CSM 12,Growth,usage_decline,True
CUST-0048,Customer 048,Retail,Enterprise,207446.68,2025-09-26,CSM 01,Renewal,competitor_risk,True
CUST-0049,Customer 049,Media,Mid-Market,40755.74,2022-09-11,CSM 04,Adoption,seasonal_decline,False
CUST-0050,Customer 050,Retail,Mid-Market,94432.29,2024-10-01,CSM 04,Growth,support_escalation,True
CUST-0051,Customer 051,Financial Services,Strategic,448648.36,2024-10-13,CSM 06,Mature,commercial_risk,True
CUST-0052,Customer 052,Manufacturing,Enterprise,139799.46,2023-11-12,CSM 12,Adoption,competitor_risk,True
CUST-0053,Customer 053,Technology,Mid-Market,39967.96,2025-02-09,CSM 08,Renewal,healthy,False
CUST-0054,Customer 054,Technology,Mid-Market,26774.83,2023-10-01,CSM 04,Mature,commercial_risk,True
CUST-0055,Customer 055,Media,Mid-Market,73111.13,2024-01-14,CSM 07,Renewal,competitor_risk,True
CUST-0056,Customer 056,Retail,Strategic,669324.35,2023-12-08,CSM 05,Adoption,healthy,False
CUST-0057,Customer 057,Logistics,Mid-Market,70465.66,2024-03-25,CSM 09,Adoption,usage_decline,True
CUST-0058,Customer 058,Financial Services,Mid-Market,78158.9,2023-11-25,CSM 01,Growth,support_escalation,True
CUST-0059,Customer 059,Media,Mid-Market,71736.66,2026-03-13,CSM 11,Adoption,healthy,False
CUST-0060,Customer 060,Logistics,Enterprise,181545.73,2024-03-16,CSM 12,Renewal,healthy,False
CUST-0061,Customer 061,Logistics,Enterprise,269329.49,2026-03-14,CSM 03,Renewal,healthy,False
CUST-0062,Customer 062,Manufacturing,Mid-Market,40763.7,2024-03-05,CSM 10,Renewal,competitor_risk,True
CUST-0063,Customer 063,Education,Enterprise,298433.85,2023-09-02,CSM 12,Growth,usage_decline,True
CUST-0064,Customer 064,Media,Enterprise,123346.8,2026-03-12,CSM 04,Renewal,healthy,False
CUST-0065,Customer 065,Financial Services,Mid-Market,43363.19,2022-08-11,CSM 08,Adoption,healthy,False
CUST-0066,Customer 066,Technology,Enterprise,279586.48,2025-09-12,CSM 07,Mature,competitor_risk,True
CUST-0067,Customer 067,Healthcare,Mid-Market,83381.53,2022-07-03,CSM 04,Growth,healthy,False
CUST-0068,Customer 068,Financial Services,Enterprise,239351.45,2025-01-28,CSM 02,Mature,champion_departure,False
CUST-0069,Customer 069,Media,Mid-Market,96252.97,2025-06-13,CSM 08,Mature,usage_decline,True
CUST-0070,Customer 070,Education,Enterprise,212517.44,2023-05-13,CSM 04,Renewal,usage_decline,True
CUST-0071,Customer 071,Technology,Enterprise,168649.36,2025-12-26,CSM 02,Renewal,usage_decline,True
CUST-0072,Customer 072,Healthcare,Mid-Market,35378.05,2025-07-02,CSM 04,Mature,healthy,False
CUST-0073,Customer 073,Logistics,Enterprise,201899.84,2022-10-31,CSM 09,Mature,champion_departure,False
CUST-0074,Customer 074,Logistics,Mid-Market,92862.89,2024-10-29,CSM 10,Adoption,healthy,False
CUST-0075,Customer 075,Education,Strategic,353242.85,2024-08-09,CSM 06,Renewal,commercial_risk,True
CUST-0076,Customer 076,Technology,Enterprise,222057.37,2024-10-27,CSM 05,Mature,competitor_risk,True
CUST-0077,Customer 077,Logistics,Enterprise,281045.34,2026-03-22,CSM 08,Growth,healthy,False
CUST-0078,Customer 078,Financial Services,Strategic,396171.1,2024-09-05,CSM 07,Growth,usage_decline,True
CUST-0079,Customer 079,Logistics,Strategic,530043.97,2023-12-06,CSM 08,Renewal,healthy,False
CUST-0080,Customer 080,Logistics,Mid-Market,43920.36,2024-01-12,CSM 02,Mature,competitor_risk,True
CUST-0081,Customer 081,Technology,Mid-Market,73760.81,2024-06-07,CSM 11,Adoption,usage_decline,True
CUST-0082,Customer 082,Financial Services,Enterprise,255333.91,2023-08-04,CSM 04,Growth,seasonal_decline,False
CUST-0083,Customer 083,Education,Enterprise,274866.24,2023-09-11,CSM 06,Growth,healthy,False
CUST-0084,Customer 084,Retail,Enterprise,341180.19,2023-02-11,CSM 02,Adoption,seasonal_decline,False
CUST-0085,Customer 085,Logistics,Strategic,867808.83,2024-07-29,CSM 04,Adoption,support_escalation,True
CUST-0086,Customer 086,Healthcare,Enterprise,274298.25,2023-11-01,CSM 05,Adoption,competitor_risk,True
CUST-0087,Customer 087,Media,Enterprise,233186.31,2022-09-14,CSM 11,Renewal,support_escalation,True
CUST-0088,Customer 088,Logistics,Mid-Market,86674.82,2022-07-17,CSM 02,Mature,support_escalation,True
CUST-0089,Customer 089,Retail,Strategic,589517.93,2025-01-18,CSM 12,Renewal,support_escalation,True
CUST-0090,Customer 090,Education,Enterprise,208893.62,2025-03-08,CSM 12,Renewal,competitor_risk,True
CUST-0091,Customer 091,Manufacturing,Mid-Market,91122.34,2022-12-16,CSM 04,Mature,healthy,False
CUST-0092,Customer 092,Financial Services,Enterprise,223576.63,2024-05-10,CSM 06,Growth,champion_departure,False
CUST-0093,Customer 093,Media,Enterprise,169914.62,2023-12-03,CSM 10,Renewal,healthy,False
CUST-0094,Customer 094,Healthcare,Enterprise,160339.01,2023-07-18,CSM 07,Mature,usage_decline,True
CUST-0095,Customer 095,Education,Enterprise,212043.64,2025-02-21,CSM 01,Adoption,healthy,False
CUST-0096,Customer 096,Manufacturing,Mid-Market,74797.0,2023-11-02,CSM 06,Mature,healthy,False
CUST-0097,Customer 097,Media,Enterprise,187952.63,2025-07-23,CSM 08,Renewal,healthy,False
CUST-0098,Customer 098,Media,Mid-Market,33966.61,2023-07-21,CSM 09,Growth,healthy,False
CUST-0099,Customer 099,Manufacturing,Mid-Market,98538.3,2024-01-09,CSM 04,Renewal,champion_departure,False
CUST-0100,Customer 100,Retail,Mid-Market,45573.35,2022-07-20,CSM 01,Renewal,healthy,False
